epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4517.78,1.57485,0.99423,2.10664,0.96943,0.97166,0.9887,0.83409,1.16664,0.48138,1.94894,0.005842,0.005842,0.005842
44,4622.65,1.56337,0.98671,2.09521,0.96924,0.9727,0.98922,0.83727,1.15511,0.47673,1.9452,0.005743,0.005743,0.005743
45,4727.54,1.54434,0.97681,2.09617,0.97126,0.96934,0.9888,0.83686,1.16114,0.47739,1.95253,0.005644,0.005644,0.005644
46,4832.56,1.53841,0.96394,2.09145,0.96967,0.97336,0.98892,0.83841,1.15062,0.47278,1.94778,0.005545,0.005545,0.005545
47,4937.79,1.54495,0.96594,2.08844,0.96899,0.97349,0.98895,0.8392,1.14179,0.46837,1.93286,0.005446,0.005446,0.005446
48,5042.57,1.53306,0.96718,2.0835,0.97177,0.97233,0.98947,0.84144,1.13966,0.46457,1.93428,0.005347,0.005347,0.005347
49,5147.2,1.51991,0.95763,2.08021,0.97438,0.97226,0.9897,0.8432,1.13182,0.46069,1.92711,0.005248,0.005248,0.005248
50,5251.93,1.50835,0.95278,2.06443,0.97217,0.97433,0.98962,0.84491,1.12141,0.45495,1.92067,0.005149,0.005149,0.005149
51,5357.07,1.49575,0.94164,2.06247,0.97313,0.97574,0.99002,0.8459,1.12172,0.45528,1.91605,0.00505,0.00505,0.00505
52,5462.39,1.49469,0.93681,2.051,0.9744,0.97342,0.98995,0.84697,1.11416,0.45067,1.91884,0.004951,0.004951,0.004951
53,5567.63,1.49158,0.92728,2.0584,0.97489,0.97383,0.99037,0.84854,1.1029,0.44815,1.91303,0.004852,0.004852,0.004852
54,5672.83,1.48784,0.93587,2.06417,0.97461,0.97244,0.98987,0.84825,1.10843,0.45031,1.91912,0.004753,0.004753,0.004753
55,5777.8,1.47461,0.92424,2.05125,0.9773,0.97247,0.99061,0.84973,1.10287,0.44174,1.91083,0.004654,0.004654,0.004654
56,5882.84,1.46733,0.93062,2.04403,0.97745,0.97539,0.99036,0.85111,1.09678,0.44285,1.90675,0.004555,0.004555,0.004555
57,5987.92,1.46133,0.90951,2.03344,0.97528,0.97498,0.99052,0.85202,1.09039,0.44232,1.90195,0.004456,0.004456,0.004456
58,6092.79,1.44833,0.90322,2.04069,0.97776,0.97576,0.99083,0.85357,1.08819,0.43703,1.90644,0.004357,0.004357,0.004357
59,6198.05,1.44827,0.90359,2.03009,0.97625,0.978,0.99061,0.8547,1.08,0.42922,1.89453,0.004258,0.004258,0.004258
60,6302.93,1.43569,0.89326,2.03042,0.97808,0.97862,0.99086,0.8551,1.08167,0.42821,1.90414,0.004159,0.004159,0.004159
61,6407.94,1.42554,0.89074,2.02472,0.9775,0.97732,0.99096,0.85523,1.07832,0.42913,1.89971,0.00406,0.00406,0.00406
62,6512.75,1.42793,0.89106,2.02759,0.97876,0.97758,0.99119,0.85647,1.07447,0.42608,1.89782,0.003961,0.003961,0.003961
63,6617.59,1.42049,0.87661,2.02973,0.97985,0.97778,0.99127,0.85767,1.06863,0.42268,1.89542,0.003862,0.003862,0.003862
64,6722.27,1.41196,0.88052,2.01942,0.97886,0.97934,0.99115,0.85776,1.06821,0.4229,1.89255,0.003763,0.003763,0.003763
65,6827.42,1.41082,0.87467,2.0127,0.97993,0.97705,0.99121,0.85926,1.0608,0.4205,1.88463,0.003664,0.003664,0.003664
66,6932.57,1.39886,0.86807,2.00995,0.97894,0.97869,0.99121,0.86084,1.05671,0.42035,1.88203,0.003565,0.003565,0.003565
67,7037.49,1.386,0.8678,2.00765,0.9797,0.97861,0.99144,0.86086,1.05614,0.4202,1.88389,0.003466,0.003466,0.003466
68,7142.65,1.39293,0.86926,2.00702,0.98014,0.97767,0.99162,0.86244,1.05299,0.41629,1.87886,0.003367,0.003367,0.003367
69,7247.58,1.37129,0.85096,1.98611,0.97838,0.98054,0.9914,0.86238,1.04862,0.41063,1.87044,0.003268,0.003268,0.003268
70,7352.49,1.37401,0.85367,1.99429,0.98053,0.9776,0.99162,0.86367,1.04805,0.41028,1.87234,0.003169,0.003169,0.003169
71,7457.44,1.36288,0.85163,1.99341,0.97978,0.98118,0.99165,0.86423,1.04416,0.40596,1.8755,0.00307,0.00307,0.00307
72,7562.75,1.36141,0.84776,1.99823,0.98099,0.98111,0.99177,0.86458,1.04254,0.40401,1.87718,0.002971,0.002971,0.002971
73,7668.44,1.35167,0.83684,1.99095,0.98102,0.97947,0.99183,0.86472,1.03914,0.40414,1.87368,0.002872,0.002872,0.002872
74,7773.47,1.3369,0.82649,1.97571,0.98176,0.98128,0.99178,0.86617,1.03257,0.4012,1.86696,0.002773,0.002773,0.002773
75,7878.64,1.33024,0.82421,1.97232,0.9825,0.97791,0.99156,0.86672,1.02849,0.39861,1.85997,0.002674,0.002674,0.002674
76,7984.05,1.32301,0.82649,1.97266,0.98456,0.97798,0.99169,0.86673,1.02973,0.4005,1.86455,0.002575,0.002575,0.002575
77,8089.39,1.32241,0.82479,1.9715,0.98155,0.98028,0.99163,0.86752,1.02455,0.39889,1.8598,0.002476,0.002476,0.002476
78,8194.79,1.31451,0.81277,1.9605,0.98111,0.97994,0.99168,0.86822,1.02062,0.39575,1.85686,0.002377,0.002377,0.002377
79,8300.19,1.2962,0.80465,1.9535,0.98315,0.9786,0.99184,0.86903,1.01929,0.39583,1.85426,0.002278,0.002278,0.002278
80,8405.82,1.29116,0.80512,1.95793,0.98282,0.97994,0.99203,0.86931,1.01696,0.39444,1.85367,0.002179,0.002179,0.002179
